"cohort","timeframe","eventSelector","scanStart","scanEnd","overallEvents","overallUniqueTickers","intervals","requiredObservations","configuredRatio","requiredExpandedIntervals","effectiveRatio","baseline","passEvents","failEvents","unknownEvents","passUniqueTickers","passRate","passUniqueTickerRate","group","horizonSessions","eligible","unavailable","smallSample","meanReturn","positiveReturnRatio","q25Return","medianReturn","q75Return","medianMfe","medianMae"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","0.6666666666666666","2","0.6666666666666666","false","94","912","0","80","0.09343936381709742","0.14010507880910683","PASS","20","90","4","false","-0.025694513447256838","0.36666666666666664","-0.08524036065851207","-0.042004707368807126","0.03743960121806916","0.05758715798352576","-0.084060543772774"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","0.6666666666666666","2","0.6666666666666666","false","94","912","0","80","0.09343936381709742","0.14010507880910683","PASS","60","88","6","false","0.057190994063481805","0.6477272727272727","-0.028350458436475823","0.015035776948086998","0.12461769390590516","0.08485013456653512","-0.15021628459357905"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","0.6666666666666666","2","0.6666666666666666","false","94","912","0","80","0.09343936381709742","0.14010507880910683","PASS","120","88","6","false","0.177711211992377","0.8295454545454546","0.033877097316168114","0.12876944889140007","0.2734755928118388","0.1802823062685046","-0.15021628459357905"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","0.6666666666666666","2","0.6666666666666666","false","94","912","0","80","0.09343936381709742","0.14010507880910683","PASS","245","85","9","false","0.5211556467423135","0.8823529411764706","0.13793103448275867","0.36370577755153977","0.6467905997895476","0.5818303273213092","-0.17420212765957444"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","0.6666666666666666","2","0.6666666666666666","false","94","912","0","80","0.09343936381709742","0.14010507880910683","FAIL","20","826","86","false","-0.005271663762186776","0.47578692493946734","-0.059119403753572025","-0.0054420763874235","0.038216132340672004","0.04665899513272265","-0.06575759227260047"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","0.6666666666666666","2","0.6666666666666666","false","94","912","0","80","0.09343936381709742","0.14010507880910683","FAIL","60","800","112","false","0.05150338114850903","0.64625","-0.02165535063843413","0.03600843782529217","0.10077519070097918","0.08577239861318797","-0.13625547691270645"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","0.6666666666666666","2","0.6666666666666666","false","94","912","0","80","0.09343936381709742","0.14010507880910683","FAIL","120","782","130","false","0.18205523196329845","0.8529411764705882","0.0368848522810315","0.13682017183837758","0.25846978048064073","0.18744550814277927","-0.13748633763609214"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","0.6666666666666666","2","0.6666666666666666","false","94","912","0","80","0.09343936381709742","0.14010507880910683","FAIL","245","762","150","false","0.38744085957985175","0.8700787401574803","0.08856980623894517","0.25979131893301066","0.5121396558312445","0.4079861836515829","-0.1404566325332332"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","0.6666666666666666","2","0.6666666666666666","false","94","912","0","80","0.09343936381709742","0.14010507880910683","UNKNOWN","20","0","0","true","","","","","","",""
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","0.6666666666666666","2","0.6666666666666666","false","94","912","0","80","0.09343936381709742","0.14010507880910683","UNKNOWN","60","0","0","true","","","","","","",""
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","0.6666666666666666","2","0.6666666666666666","false","94","912","0","80","0.09343936381709742","0.14010507880910683","UNKNOWN","120","0","0","true","","","","","","",""
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","0.6666666666666666","2","0.6666666666666666","false","94","912","0","80","0.09343936381709742","0.14010507880910683","UNKNOWN","245","0","0","true","","","","","","",""
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","1","3","1","false","5","1001","0","5","0.004970178926441352","0.008756567425569177","PASS","20","5","0","true","-0.044999170184335614","0.4","-0.07982631930527717","-0.07194244604316546","0.002333041703120431","0.01870407481629921","-0.08240680183126226"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","1","3","1","false","5","1001","0","5","0.004970178926441352","0.008756567425569177","PASS","60","5","0","true","0.032276156468455316","0.8","0.008978963571061982","0.010354041416165582","0.017658600392413293","0.035404141616566465","-0.17835671342685366"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","1","3","1","false","5","1001","0","5","0.004970178926441352","0.008756567425569177","PASS","120","5","0","true","0.11614228420854693","0.8","0.026160889470242088","0.14571575166752182","0.15798263193052775","0.17702070808283232","-0.17835671342685366"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","1","3","1","false","5","1001","0","5","0.004970178926441352","0.008756567425569177","PASS","245","5","0","true","0.5065883387634038","1","0.34205362982341403","0.46960587842351376","0.551821446895844","0.5818303273213092","-0.17835671342685366"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","1","3","1","false","5","1001","0","5","0.004970178926441352","0.008756567425569177","FAIL","20","911","90","false","-0.007071245474091901","0.4654226125137212","-0.061405943549633024","-0.008216926869350827","0.03871473871525677","0.0480114654245789","-0.0701785089254463"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","1","3","1","false","5","1001","0","5","0.004970178926441352","0.008756567425569177","FAIL","60","883","118","false","0.052179084500624376","0.6455266138165345","-0.02199357165989324","0.034482758620689724","0.10235063152364776","0.08563722184760625","-0.13730144239547193"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","1","3","1","false","5","1001","0","5","0.004970178926441352","0.008756567425569177","FAIL","120","865","136","false","0.18199429668160183","0.8508670520231214","0.036474164133738496","0.13563144329896915","0.2593180015860428","0.18443804034582123","-0.1380494505494505"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","1","3","1","false","5","1001","0","5","0.004970178926441352","0.008756567425569177","FAIL","245","842","159","false","0.4002318566260409","0.8705463182897862","0.09352517985611519","0.272640226595252","0.5137401455530745","0.4216527592717356","-0.14334769673026176"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","1","3","1","false","5","1001","0","5","0.004970178926441352","0.008756567425569177","UNKNOWN","20","0","0","true","","","","","","",""
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","1","3","1","false","5","1001","0","5","0.004970178926441352","0.008756567425569177","UNKNOWN","60","0","0","true","","","","","","",""
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","1","3","1","false","5","1001","0","5","0.004970178926441352","0.008756567425569177","UNKNOWN","120","0","0","true","","","","","","",""
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","3","4","1","3","1","false","5","1001","0","5","0.004970178926441352","0.008756567425569177","UNKNOWN","245","0","0","true","","","","","","",""
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","4","5","0.5","2","0.5","false","134","872","0","114","0.13320079522862824","0.19964973730297722","PASS","20","125","9","false","-0.012323747215262746","0.432","-0.07098923628908249","-0.02183491628316847","0.03930348258706462","0.054054054054053946","-0.05901794145420203"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","4","5","0.5","2","0.5","false","134","872","0","114","0.13320079522862824","0.19964973730297722","PASS","60","123","11","false","0.04930369595120345","0.6097560975609756","-0.03420642344870595","0.016129032258064502","0.12126952173333938","0.08077360637087594","-0.13368055555555558"
"Monthly NEAR, 3 months","MONTHLY","NEAR_ENTERED","2025-02-03","2025-05-02","1006","571","4","5","0.5","2","0.5","false","134","872","0","114","0.13320079522862824","0.19964973730297722","PASS","120","122","12","false","0.17309745726674075","0.819672131147541","0.030434371047612985","0.1301503583429059","0.25844319515290853","0.18077120298513938","-0.13567589421613396"
